2026-05-23 12:19:55.392 | INFO     | wisp.utils.logging:log_environment:50 - torch 2.12.0 | device=mps
2026-05-23 12:19:55.411 | INFO     | wisp.training.trainer:run_training:53 - dataset: 848 virtual windows across 106 clips
2026-05-23 12:19:56.658 | INFO     | wisp.training.trainer:run_training:94 - denoiser params: 5.38M
2026-05-23 12:53:25.503 | INFO     | wisp.training.trainer:run_training:142 - epoch   26/300 | total=0.0301 | rec=0.0212 | pos=0.0073 | vel=0.0031 | bone=0.0000 | 4.3s
2026-05-23 12:53:29.834 | INFO     | wisp.training.trainer:run_training:142 - epoch   27/300 | total=0.0297 | rec=0.0210 | pos=0.0072 | vel=0.0029 | bone=0.0000 | 4.3s
2026-05-23 12:53:34.158 | INFO     | wisp.training.trainer:run_training:142 - epoch   28/300 | total=0.0298 | rec=0.0210 | pos=0.0073 | vel=0.0029 | bone=0.0000 | 4.3s
2026-05-23 12:53:38.396 | INFO     | wisp.training.trainer:run_training:142 - epoch   29/300 | total=0.0301 | rec=0.0213 | pos=0.0073 | vel=0.0029 | bone=0.0000 | 4.2s
2026-05-23 12:53:42.596 | INFO     | wisp.training.trainer:run_training:142 - epoch   30/300 | total=0.0282 | rec=0.0200 | pos=0.0068 | vel=0.0028 | bone=0.0000 | 4.2s
2026-05-23 12:53:46.823 | INFO     | wisp.training.trainer:run_training:142 - epoch   31/300 | total=0.0287 | rec=0.0204 | pos=0.0070 | vel=0.0028 | bone=0.0000 | 4.2s
2026-05-23 12:53:51.235 | INFO     | wisp.training.trainer:run_training:142 - epoch   32/300 | total=0.0284 | rec=0.0200 | pos=0.0070 | vel=0.0028 | bone=0.0000 | 4.4s
2026-05-23 12:53:55.472 | INFO     | wisp.training.trainer:run_training:142 - epoch   33/300 | total=0.0278 | rec=0.0198 | pos=0.0067 | vel=0.0026 | bone=0.0000 | 4.2s
2026-05-23 12:53:59.679 | INFO     | wisp.training.trainer:run_training:142 - epoch   34/300 | total=0.0277 | rec=0.0197 | pos=0.0067 | vel=0.0026 | bone=0.0000 | 4.2s
2026-05-23 12:54:03.886 | INFO     | wisp.training.trainer:run_training:142 - epoch   35/300 | total=0.0270 | rec=0.0192 | pos=0.0066 | vel=0.0024 | bone=0.0000 | 4.2s
2026-05-23 12:54:08.078 | INFO     | wisp.training.trainer:run_training:142 - epoch   36/300 | total=0.0268 | rec=0.0191 | pos=0.0066 | vel=0.0024 | bone=0.0000 | 4.2s
2026-05-23 12:54:12.277 | INFO     | wisp.training.trainer:run_training:142 - epoch   37/300 | total=0.0272 | rec=0.0194 | pos=0.0067 | vel=0.0023 | bone=0.0000 | 4.2s
2026-05-23 12:54:16.468 | INFO     | wisp.training.trainer:run_training:142 - epoch   38/300 | total=0.0270 | rec=0.0193 | pos=0.0066 | vel=0.0023 | bone=0.0000 | 4.2s
2026-05-23 12:54:20.658 | INFO     | wisp.training.trainer:run_training:142 - epoch   39/300 | total=0.0272 | rec=0.0194 | pos=0.0067 | vel=0.0022 | bone=0.0000 | 4.2s
2026-05-23 12:54:24.849 | INFO     | wisp.training.trainer:run_training:142 - epoch   40/300 | total=0.0269 | rec=0.0192 | pos=0.0066 | vel=0.0021 | bone=0.0000 | 4.2s
2026-05-23 12:54:29.042 | INFO     | wisp.training.trainer:run_training:142 - epoch   41/300 | total=0.0269 | rec=0.0193 | pos=0.0065 | vel=0.0022 | bone=0.0000 | 4.2s
2026-05-23 12:54:33.236 | INFO     | wisp.training.trainer:run_training:142 - epoch   42/300 | total=0.0258 | rec=0.0185 | pos=0.0063 | vel=0.0020 | bone=0.0000 | 4.2s
2026-05-23 12:54:37.425 | INFO     | wisp.training.trainer:run_training:142 - epoch   43/300 | total=0.0260 | rec=0.0186 | pos=0.0064 | vel=0.0021 | bone=0.0000 | 4.2s
2026-05-23 12:54:41.619 | INFO     | wisp.training.trainer:run_training:142 - epoch   44/300 | total=0.0250 | rec=0.0179 | pos=0.0061 | vel=0.0019 | bone=0.0000 | 4.2s
2026-05-23 12:54:45.809 | INFO     | wisp.training.trainer:run_training:142 - epoch   45/300 | total=0.0264 | rec=0.0189 | pos=0.0065 | vel=0.0021 | bone=0.0000 | 4.2s
2026-05-23 12:54:50.005 | INFO     | wisp.training.trainer:run_training:142 - epoch   46/300 | total=0.0254 | rec=0.0183 | pos=0.0062 | vel=0.0019 | bone=0.0000 | 4.2s
2026-05-23 12:54:54.195 | INFO     | wisp.training.trainer:run_training:142 - epoch   47/300 | total=0.0253 | rec=0.0181 | pos=0.0062 | vel=0.0019 | bone=0.0000 | 4.2s
2026-05-23 12:54:58.399 | INFO     | wisp.training.trainer:run_training:142 - epoch   48/300 | total=0.0251 | rec=0.0178 | pos=0.0063 | vel=0.0021 | bone=0.0000 | 4.2s
2026-05-23 12:55:02.597 | INFO     | wisp.training.trainer:run_training:142 - epoch   49/300 | total=0.0245 | rec=0.0176 | pos=0.0060 | vel=0.0018 | bone=0.0000 | 4.2s
2026-05-23 12:55:06.806 | INFO     | wisp.training.trainer:run_training:142 - epoch   50/300 | total=0.0249 | rec=0.0179 | pos=0.0061 | vel=0.0018 | bone=0.0000 | 4.2s
2026-05-23 12:55:06.986 | INFO     | wisp.training.trainer:run_training:162 - checkpoint saved (epoch 50)
2026-05-23 12:55:11.182 | INFO     | wisp.training.trainer:run_training:142 - epoch   51/300 | total=0.0249 | rec=0.0180 | pos=0.0061 | vel=0.0018 | bone=0.0000 | 4.2s
2026-05-23 12:55:15.379 | INFO     | wisp.training.trainer:run_training:142 - epoch   52/300 | total=0.0249 | rec=0.0179 | pos=0.0061 | vel=0.0019 | bone=0.0000 | 4.2s
